# m1[Msun], m2[Msun], f_gw[Hz], inclination[rad], x_gal[kpc], y_gal[kpc], z_gal[kpc], Pala_reassigned
0.6985349305,0.1461108164,0.0002853810,1.9684224680,-8.1960591588,-0.1963634210,0.3343347141,0.0000000000
0.6985970927,0.4433981975,0.0001199113,2.2789647727,-8.5535205688,-0.1438002304,-0.0111274940,0.0000000000
0.7011525527,0.0392430238,0.0004280985,0.3173635385,-8.1247300667,-0.3020475756,-0.1562731214,0.0000000000
0.7012368220,0.1023372252,0.0003455607,2.4824120468,-8.0405071315,-0.1014215353,0.2063380797,0.0000000000
0.6993910638,0.1082712729,0.0003337263,2.3357088840,-8.4863719102,0.1166835624,0.0512288820,0.0000000000
0.7002022735,0.0671308482,0.0004056429,1.0234881336,-8.0947663934,0.4575565653,-0.1347177017,0.0000000000
0.6981386809,0.1036714269,0.0003414795,1.8040767262,-8.0965116030,-0.3497338413,0.2591028223,0.0000000000
0.7018768179,0.0985956629,0.0003541763,2.1175910168,-8.3780001622,0.3255840793,-0.0758324757,0.0000000000
0.6997705715,0.1237304266,0.0003125370,1.8128488373,-7.7404961974,0.1243068783,-0.1639700354,0.0000000000
0.6987745853,0.1089643232,0.0003355390,1.6608695546,-8.3987170757,-0.3713071143,0.0758650070,0.0000000000
0.7001523132,0.1663645922,0.0002645539,1.7296192726,-8.2419654731,-0.0418174262,0.0245494500,2.0000000000
0.6991308990,0.5033074967,0.0001117406,0.3247620613,-8.1336633720,-0.1312252670,0.0025716414,1.0000000000
0.7011759554,0.1492138002,0.0002797201,2.2847482001,-8.3773314556,0.1752678288,-0.1600194926,0.0000000000
0.6992609446,0.1487059453,0.0002804920,1.4538764022,-8.1814990427,0.3273393739,-0.0357837193,0.0000000000
0.6994112280,0.1211513086,0.0003146613,1.4565780858,-7.9314551502,0.0297601408,-0.1040549075,0.0000000000
0.6992988063,0.0409968116,0.0004161476,2.2345581443,-8.2057723420,-0.2763644920,-0.3307371665,0.0000000000
0.6996386501,0.0536199916,0.0004000438,1.5830760395,-7.9757941506,-0.0783264284,0.0597578205,0.0000000000
0.7006791262,0.1325896896,0.0002974729,1.6753329367,-8.2694598618,0.1307007347,-0.0233185082,0.0000000000
0.6999659200,0.1643574732,0.0002661881,1.8141825647,-8.0866660426,0.3732347429,-0.1334448287,0.0000000000
0.6999652329,0.0400693480,0.0004222590,2.1265404205,-7.9417116954,0.0320576059,0.1298736741,0.0000000000
0.6997558952,0.0863058352,0.0003750321,2.7111198283,-7.9288596125,0.2867987438,-0.1701772834,0.0000000000
0.7009497291,0.1160032737,0.0003207006,3.0715501586,-8.0054426938,-0.4746129149,-0.0365650378,0.0000000000
0.7003523943,0.2244869194,0.0001633373,2.1433348153,-7.7582660251,0.3286417132,0.0991095515,0.0000000000
0.6992145384,0.0415996725,0.0004325961,1.7749205194,-8.1054540812,-0.0254835099,-0.1877535473,0.0000000000
0.6989985400,0.0404140586,0.0004283627,0.5587570801,-7.8083821395,0.0557075971,-0.2088748750,0.0000000000
0.6983481020,0.0636773967,0.0004046036,2.1703640207,-8.5080945003,-0.2562194923,0.0111819928,0.0000000000
0.6986768107,0.1063317239,0.0003416662,2.1340418731,-8.0263695707,-0.1020429973,0.0235047194,2.0000000000
0.6998890076,0.1992390158,0.0002460096,0.9960152054,-8.1490880601,-0.1325325385,-0.1711772923,0.0000000000
0.7019065494,0.1228653929,0.0003133346,0.8050868121,-7.7847541460,0.0563196621,-0.1440462573,0.0000000000
0.6996933914,0.0986671140,0.0003514255,1.6283869903,-8.0741209114,0.3160932329,-0.0199883632,0.0000000000
0.6992013398,0.4601014737,0.0001176992,0.8390047795,-8.0910552756,-0.0444689102,0.2130967848,0.0000000000
0.6992283560,0.1189199427,0.0003177306,2.1911530266,-7.9127450239,-0.0365197160,0.3671903076,0.0000000000
0.7014650320,0.2397567120,0.0001585431,1.1843463531,-7.9098981496,0.2743424282,-0.0423364555,0.0000000000
0.7005692005,0.4132085761,0.0001249896,0.6127560576,-8.0377691960,-0.0459538412,-0.2662227179,0.0000000000
0.7020303732,0.0475274584,0.0003917896,1.9576996524,-8.0886826612,-0.3386019903,0.0830039836,0.0000000000
0.6995407166,0.1412360886,0.0002889095,1.0187318993,-8.1322128857,0.3153512656,0.3113454431,0.0000000000
0.6985731094,0.1189222824,0.0003171830,2.3390105044,-7.8501356315,0.0932945470,0.1089810804,0.0000000000
0.6998904966,0.5271886513,0.0001085382,0.3786096181,-8.0318913472,-0.0095751198,0.1720931417,0.0000000000
0.7007475941,0.1483879113,0.0002801729,2.5432084269,-8.1043645000,-0.4154679281,0.1447495383,0.0000000000
0.6999337642,0.2734474338,0.0001501188,2.4854155780,-8.4843205360,0.2974229290,-0.1173711928,0.0000000000
0.6982520227,0.3178800145,0.0001409275,2.0922385132,-8.4081333306,-0.1779156822,-0.0438698567,0.0000000000
0.6999260181,0.1208419252,0.0003126357,1.9719133921,-8.4487831116,-0.2459285315,0.1868683534,0.0000000000
0.7002570813,0.0406085459,0.0004144031,1.4674451097,-8.1035966960,0.2287200033,0.3735080065,0.0000000000
0.6997412682,0.1989928825,0.0002462784,0.4246993676,-8.0698583898,-0.4057467144,0.2555472415,0.0000000000
0.6998324521,0.0630952102,0.0004020536,1.4637380601,-8.3588356556,-0.3310220111,-0.2436129154,0.0000000000
0.7001665138,0.1297794602,0.0003036822,2.5583493860,-8.2937464831,-0.1728846463,-0.1126839858,0.0000000000
0.7027288910,0.0845167611,0.0003827299,1.5515950720,-7.8801833927,-0.3805951124,0.0339508355,0.0000000000
0.7006845163,0.0775755889,0.0003925421,2.1882009069,-8.0472580433,-0.0518371162,-0.1017727219,0.0000000000
0.7018530094,0.0855053890,0.0003784644,1.6901025938,-7.9396025679,0.0240818280,-0.2769329528,0.0000000000
0.7004498966,0.5031582340,0.0001117192,1.2499379316,-8.3161633701,0.3035141407,-0.0925056270,0.0000000000
0.7007702425,0.1942114252,0.0002451884,0.8866356183,-8.0178058264,-0.4821628357,-0.0501015642,0.0000000000
0.6996573815,0.1276614898,0.0003090135,2.6816952873,-8.5578824264,0.0722092905,-0.2110020900,0.0000000000
0.7016780619,0.1997646409,0.0002194553,0.6834138400,-8.2017774883,-0.0976695218,0.2338438954,0.0000000000
0.7007687943,0.1324678652,0.0002982735,2.0535213408,-7.9396239741,0.1369196896,0.0566860383,0.0000000000
0.6999024373,0.1038721786,0.0003409460,0.7197552735,-8.1898359812,0.3246143410,0.2216088592,0.0000000000
0.6970203956,0.1225293131,0.0003131043,2.3505407885,-7.7745276200,0.0286804703,0.0134138885,0.0000000000
0.6983549851,0.4173982655,0.0001241546,2.3826654646,-8.4610331329,-0.2803206233,0.0316842382,0.0000000000
0.7008662104,0.1292920990,0.0003025894,1.6983047783,-8.4886086144,0.1414007333,0.3148882700,0.0000000000
0.7000160056,0.1291365224,0.0003033442,1.4271756674,-7.7262115818,-0.1273052877,0.0715881914,0.0000000000
0.6990375896,0.0426012972,0.0004191289,2.4302323948,-8.0479029999,-0.0438134972,0.2833188586,0.0000000000
0.7014618916,0.0397332566,0.0004083493,2.7867081621,-8.2841672238,0.2881287351,0.0916829149,0.0000000000
0.7009643073,0.1732647204,0.0002586957,2.5144487087,-8.4485408762,0.0823616215,-0.3416569375,0.0000000000
0.7009393182,0.1008616839,0.0003488335,2.1426072549,-8.1365481138,-0.3308042497,0.1085428833,0.0000000000
0.7003366840,0.1488414417,0.0002797974,2.5170235864,-8.1687296243,-0.4302002663,0.2485716241,0.0000000000
0.6989872906,0.0779126165,0.0003925832,0.8924669182,-8.6004207486,0.0432737108,0.1298212398,0.0000000000
0.7007441658,0.1460984787,0.0002831426,2.2459654301,-8.1997690331,0.3876443707,0.1446049337,0.0000000000
0.7009822733,0.1236937055,0.0003127837,2.4079993121,-8.3524764332,0.1188151804,0.0926573654,0.0000000000
0.7002073765,0.1389009893,0.0002914990,1.9109807177,-7.9807963230,-0.0544659189,0.2710505746,0.0000000000
0.6998498155,0.1237598471,0.0003090800,1.5570805456,-7.7552892372,-0.1924220301,-0.0593053958,0.0000000000
0.6996599525,0.1788680675,0.0002539680,1.9720264594,-7.8026996686,-0.2584930834,0.2945594371,0.0000000000
0.6993559267,0.3484940573,0.0001351922,1.9167319165,-8.3008808056,-0.0372795411,-0.0313536441,0.0000000000
0.7004379808,0.0404505525,0.0004246738,2.5424803261,-8.2130394366,0.0044642419,0.4051187896,0.0000000000
0.6989926796,0.0685588139,0.0003695422,1.8409721240,-7.8699871858,-0.0032043093,-0.0231488133,0.0000000000
0.7023984859,0.0664485315,0.0004055028,0.6206512627,-8.2448342377,0.2649442626,0.1754452519,0.0000000000
0.6997618393,0.1170336297,0.0003227562,1.1568249650,-7.9437684079,0.3709741076,0.0641341478,0.0000000000
0.7008252149,0.1217099438,0.0003167830,0.2331091140,-7.8669411716,-0.2607162681,0.0283248689,0.0000000000
0.6998537138,0.1073052149,0.0003370578,2.2427618773,-8.2799138573,-0.3159850120,0.0553266364,0.0000000000
0.6993105582,0.0411412604,0.0004099187,1.1300117611,-8.4924103694,0.2949045033,0.0077705612,0.0000000000
0.6988664757,0.1029259942,0.0003417163,0.9613153206,-7.8540689029,0.2832449486,0.1494184952,0.0000000000
0.7003541220,0.1035663157,0.0003434884,2.7437828026,-8.4479424436,-0.2042095881,-0.0139698273,0.0000000000
0.6998412694,0.1084636898,0.0003339489,1.0192945441,-8.5326209834,-0.2246167176,0.1881944580,0.0000000000
0.6978999308,0.1209577737,0.0003144455,2.5643900476,-8.3781884868,-0.1641259009,0.1666369477,0.0000000000
0.7003747349,0.1151611832,0.0003244752,1.1783052461,-8.1666129180,0.0122043849,0.0872782927,1.0000000000
0.7014557526,0.1486249583,0.0002811705,1.9964745930,-7.9793045312,0.0826611831,0.0733692170,0.0000000000
0.7009533906,0.0395490489,0.0004229750,1.7726382813,-8.2654415178,-0.1117550403,-0.0340400744,0.0000000000
0.7008830781,0.0396810823,0.0004327332,0.4781497239,-8.5415433109,0.0398379963,-0.1204423185,0.0000000000
0.7005029349,0.4482694254,0.0001193674,2.7969739671,-8.1298006362,0.0353552625,0.1038487764,1.0000000000
0.7013812219,0.0571570944,0.0003862347,1.6534370589,-7.7077578431,-0.0522080004,-0.0761889172,0.0000000000
0.7004840650,0.1650250414,0.0002646595,0.6492440469,-7.7833864332,-0.2968455750,0.0390184196,0.0000000000
0.7001869139,0.0973993795,0.0003559008,1.7259929768,-7.7736040674,0.0444717701,-0.1275071612,0.0000000000
0.7007040495,0.0392896833,0.0004307820,0.9823541456,-7.9807441461,0.2506329284,0.0827182173,0.0000000000
0.6990172042,0.1313960045,0.0002981568,1.7010909189,-8.5607435376,-0.0072347341,-0.0925753684,0.0000000000
0.6984611868,0.1197954672,0.0003182945,0.4045051438,-8.2009570153,-0.1301755449,0.3048094688,0.0000000000
0.7012733411,0.1012792658,0.0003481178,1.2594641687,-8.2687183743,0.1895145016,-0.0051784513,0.0000000000
0.6999778999,0.1449308545,0.0002849625,2.0804521164,-8.5638105528,0.1391601698,-0.1326053637,0.0000000000
0.7022325233,0.1992772358,0.0002287121,1.7597643743,-7.9895562190,0.1637416951,0.2016163819,0.0000000000
0.7000545495,0.0688253295,0.0003803172,1.9936668237,-8.4601983761,0.1880727169,-0.1094070667,0.0000000000
0.7009012371,0.0670089660,0.0004044247,1.0584417187,-8.5296961236,0.2113408280,0.1440709730,0.0000000000
0.6992184023,0.0416348954,0.0004179420,1.5042078209,-8.0726898622,-0.1640932376,-0.3214802481,0.0000000000
0.7011538490,0.1022274666,0.0003465985,1.7619418217,-8.5536486929,0.2244296880,0.0373725126,0.0000000000
0.7010384995,0.0585328300,0.0004004538,0.8886218740,-7.8212931673,0.2779437051,-0.0876347868,0.0000000000
0.7003036089,0.1654295465,0.0002665174,1.7364419619,-8.0196155922,0.1324491920,-0.2652699903,0.0000000000
0.7010828544,0.0967224830,0.0003553385,2.1376207803,-8.2130991412,0.2002593240,0.0992716688,0.0000000000
0.7006535964,0.3794538849,0.0001299994,2.4287874153,-8.1096065607,-0.1724783939,0.3308862050,0.0000000000
0.6988417302,0.0660263842,0.0003780035,0.9252232799,-8.0783475389,0.3781724711,0.0367655900,0.0000000000
0.7013905641,0.1169183641,0.0003201003,1.6973175283,-8.4095310485,0.0888697133,-0.0986665613,0.0000000000
0.6984157017,0.1143814869,0.0003258344,0.4417790608,-7.8229287703,0.1966995854,0.0829861149,0.0000000000
0.7015210084,0.1495663841,0.0002792901,1.9615455378,-8.4503880329,0.0323496111,0.3165585579,0.0000000000
0.6999001034,0.1162059307,0.0003216563,0.8163969481,-8.2143023171,-0.2784599314,0.2872282738,0.0000000000
0.6993494219,0.0399716123,0.0004090816,1.3357715349,-8.1438552980,0.1294480063,0.1295377819,0.0000000000
0.6988602568,0.1382678180,0.0002930486,1.8694015659,-8.0607619494,0.3264903978,0.3795520508,0.0000000000
0.7008330747,0.1362291496,0.0002961482,2.2971513501,-7.8125434740,-0.2683654594,0.2244484485,0.0000000000
0.7003904499,0.1681051611,0.0002630455,1.0882771034,-7.9697454244,-0.1880464046,-0.2188473410,0.0000000000
0.7004316719,0.0394451767,0.0004149737,1.7926004306,-7.9052201473,0.2243843819,-0.1712847023,0.0000000000
0.7013694435,0.1121202737,0.0003268890,0.4525325152,-7.9689268360,0.1691980618,0.3483382690,0.0000000000
0.7008465836,0.1239176025,0.0003126277,1.1195769915,-8.3437277946,0.4316149742,0.0551117529,0.0000000000
0.7012568296,0.0404666426,0.0004143735,1.8753583892,-8.4360371531,-0.2043514354,-0.1778506660,0.0000000000
0.7008177784,0.0589190390,0.0004067065,0.9514591961,-8.4176183374,0.3364341760,0.1018093234,0.0000000000
0.7012392262,0.1238218780,0.0003100113,2.2388498077,-8.2872814167,0.2910127150,0.0164954725,0.0000000000
0.6992907830,0.1362777475,0.0002941960,1.4646340084,-7.7111474332,0.0897849336,0.1469221124,0.0000000000
0.6995256607,0.0850617760,0.0003793515,0.5601089752,-8.2790733773,0.4168171716,-0.0231952012,0.0000000000
0.6997211891,0.1429301548,0.0002870816,0.7952562975,-8.2004413687,0.3598939904,0.2924652941,0.0000000000
0.7018158693,0.1621552714,0.0002691111,1.9701080735,-8.1806728327,-0.2036102707,-0.0785995507,0.0000000000
0.7003238809,0.0407529844,0.0004279388,2.1516110906,-8.0198662489,0.2419897490,0.4126226446,0.0000000000
0.7001452646,0.4017403510,0.0001264020,2.0298665627,-7.8566047431,0.1638015363,-0.3007924082,0.0000000000
0.6991077553,0.2010994556,0.0002331581,0.7997045722,-7.9858739623,0.2057242108,0.3173742567,0.0000000000
0.6990850692,0.5321953871,0.0001080671,0.8058344909,-8.1021945809,-0.3620055568,0.1898497655,0.0000000000
0.7006358436,0.1658500989,0.0002639235,0.9987637248,-7.7098854896,0.0678730713,0.0794771444,0.0000000000
0.7010865086,0.1169502029,0.0003215429,1.2766364551,-7.8759145835,-0.3522152759,-0.1560185728,0.0000000000
0.7012877449,0.0927121200,0.0003652002,1.0864682944,-8.0635884178,0.4015471124,0.1387190059,0.0000000000
0.7000306298,0.1350871909,0.0002959498,2.1275488140,-8.5735094807,-0.0808844871,0.0189596874,0.0000000000
0.6994503787,0.1163308890,0.0003236200,0.9238995738,-8.0340245142,-0.0645182819,0.4432639866,0.0000000000
0.7004216853,0.0429111171,0.0003807515,1.1057558576,-8.3049760493,0.1261123691,-0.3091988117,0.0000000000
0.7005935155,0.1787950250,0.0002546171,2.0941246130,-8.1773408138,-0.0875128239,-0.3521904517,0.0000000000
0.7009235503,0.0407727321,0.0004308074,0.8417929077,-7.6960747553,0.0922357970,0.0288243631,0.0000000000
0.6988176098,0.0394938853,0.0004328147,1.3857367535,-8.1787742305,-0.1764058666,-0.0458303441,0.0000000000
0.7019665636,0.1162796400,0.0003202148,0.7461493305,-8.1667418306,-0.2014305443,-0.1394878211,0.0000000000
0.6981687185,0.1378885448,0.0002920688,2.0869656149,-7.8162710664,-0.1562057180,-0.0882275733,0.0000000000
0.7003262324,0.1277571810,0.0003059901,1.1140427755,-7.7663911659,-0.0162669917,0.2997698349,0.0000000000
0.7018410047,0.1089574964,0.0003371906,0.6392634250,-8.1290819318,-0.3501131981,-0.1994689882,0.0000000000
0.7003845465,0.1295502466,0.0003054607,0.1916416065,-8.3487756752,0.2686068031,-0.1193100012,0.0000000000
0.7002099492,0.1246910975,0.0003100460,2.6933245601,-7.7840540275,0.0241807530,0.1136038618,0.0000000000
0.6992269946,0.1046170097,0.0003399004,2.6179011742,-8.3684299493,0.2135490289,0.1356975450,0.0000000000
0.6985983475,0.0377569446,0.0004221546,1.5957085897,-8.2931622111,0.3252879981,0.1577360267,0.0000000000
0.6991392620,0.1398155918,0.0002905307,0.9345425935,-7.9990730138,0.2143939419,0.0273666471,0.0000000000
0.7009689233,0.0929321714,0.0003604732,2.6538778960,-8.1227416954,0.0817015862,0.3276644995,0.0000000000
0.6983205182,0.0635626407,0.0004036157,1.9269970833,-8.2150287114,-0.2794984606,-0.0757588332,0.0000000000
0.6997575603,0.3358289793,0.0001376250,0.6943203218,-7.7352384573,-0.0729163615,-0.1527597138,0.0000000000
0.7004868518,0.0409378340,0.0004185872,0.8453619034,-8.4965128123,-0.2982407650,-0.0488967315,0.0000000000
0.6988836819,0.2003226013,0.0002213565,1.3672200941,-8.0209645794,-0.2025065644,-0.3747872891,0.0000000000
0.7004693792,0.1205819750,0.0003184150,1.0739352761,-8.2492572051,0.0545979027,0.0632401826,2.0000000000
0.7012993738,0.1052185722,0.0003414783,0.5225591861,-7.7726114153,0.1329798981,0.2853551461,0.0000000000
0.6990930470,0.1540682466,0.0002769691,1.7374418846,-8.5220052642,0.2266321336,0.1219937717,0.0000000000
0.6995288539,0.0420982860,0.0004233123,0.4436834753,-8.0136826182,-0.3018691333,0.1145541199,0.0000000000
0.6995277284,0.1061590294,0.0003368848,2.2743124737,-8.1878680588,0.1051396597,0.1483410121,0.0000000000
0.6986853812,0.0414539083,0.0004210386,1.1956183797,-7.8846217045,-0.1779673525,0.2738265661,0.0000000000
0.7004120621,0.2872973670,0.0001471218,2.8227839658,-7.7434752340,-0.2238909748,-0.0362996469,0.0000000000
0.6999585361,0.0398159965,0.0004191835,1.3052200850,-8.2890427328,-0.2359312555,0.2389947805,0.0000000000
0.7013766857,0.1859296068,0.0002484283,2.0743061560,-7.8156888579,-0.2509886996,-0.0234747405,0.0000000000
0.7003537467,0.2019979107,0.0002417112,2.0940271913,-7.7735088539,0.2645922700,0.0879894061,0.0000000000
0.7009472259,0.0602755074,0.0004075178,1.4895359351,-8.3951458104,-0.1955145617,-0.2185637960,0.0000000000
0.6989479528,0.1430752317,0.0002872704,1.5048983805,-7.8132307766,-0.1516001410,-0.0143022423,0.0000000000
0.7000317884,0.0405784252,0.0004260102,2.2842865048,-8.2592284666,-0.3786405723,-0.0322847314,0.0000000000
0.6997226584,0.4363659600,0.0001211124,0.3644265005,-7.8097821000,-0.2939080055,-0.0324479571,0.0000000000
0.7007841022,0.3252916087,0.0001392906,1.7524873893,-7.9687683388,-0.0103921755,0.1608663832,0.0000000000
0.6999860287,0.0544640691,0.0004028245,0.9642371288,-8.3491583490,0.0769009365,-0.1218661082,0.0000000000
0.7009571429,0.0406050665,0.0004308812,2.9409215224,-8.0914958492,0.0980484468,-0.3512035548,0.0000000000
0.7001097484,0.1623724244,0.0002682278,0.5860760175,-7.7281235021,0.0721522103,-0.0271925521,0.0000000000
0.7004419295,0.0744158088,0.0003852523,2.0931225270,-7.9872459489,0.2823137435,-0.1987491022,0.0000000000
0.7016908695,0.4434181634,0.0001198021,1.8997530531,-7.8891716718,0.0070876076,-0.0185050214,0.0000000000
0.6991709157,0.0397570507,0.0004204051,2.0177449823,-7.7147505861,0.1829530719,0.1270650786,0.0000000000
0.6997989264,0.1195920222,0.0003173933,1.8973102398,-7.9052785340,-0.1939131111,0.1498140128,0.0000000000
0.7017476683,0.1374340329,0.0002926801,1.0262814167,-8.1314718579,-0.0868195019,0.0925018322,1.0000000000
0.6997738490,0.4729744514,0.0001156871,1.3368108155,-7.9695470028,0.2139112906,-0.0444176463,0.0000000000
0.7011214787,0.1047691332,0.0003408214,2.8415169617,-8.4217367925,-0.0269525427,-0.2975248261,0.0000000000
0.6997082315,0.1015052441,0.0003488932,1.5518393721,-7.9079059547,-0.2076929984,0.0976822279,0.0000000000
0.7003993241,0.0926529696,0.0003649768,1.7498911183,-8.0004585269,-0.0424793058,0.0853418656,1.0000000000
0.7001844469,0.1027919240,0.0003456038,0.6525388098,-8.0594532476,0.3364421431,0.3335922263,0.0000000000
0.6998200350,0.0802829419,0.0003878664,1.6475481827,-7.7236632773,-0.1129991551,0.1928720345,0.0000000000
0.7000402895,0.0394930798,0.0004296532,2.7604645387,-8.0212723612,0.4668316858,-0.0332715945,0.0000000000
0.7001615816,0.0403939391,0.0004179376,0.8835945292,-8.0410471159,0.0573258245,0.1676200385,0.0000000000
0.7013408263,0.0815517989,0.0003795970,1.5377159888,-8.5010188767,-0.0977782984,-0.2302554033,0.0000000000
0.7002887820,0.0541423968,0.0004111166,1.7771562304,-8.1529835608,0.0069391952,0.0892869725,1.0000000000
0.7001780320,0.1095871760,0.0003322138,0.6052707749,-7.9484189772,0.0908367315,0.0922716442,0.0000000000
0.7007673316,0.1750742894,0.0002568975,2.6762026098,-7.9613532591,0.1127014541,0.1776978175,0.0000000000
0.6993765378,0.5138251039,0.0001105127,1.5793233471,-8.3788437907,-0.1024871008,0.2706999474,0.0000000000
0.7009072711,0.0610473929,0.0003920424,2.1691053529,-8.2102019196,-0.3986031369,0.1233254630,0.0000000000
0.6993990098,0.1490545714,0.0002828324,2.1255873052,-7.7112594762,0.0710208835,0.2067401265,0.0000000000
0.6991500238,0.5118435836,0.0001105998,1.7184922228,-7.7078407552,-0.1755348801,0.1047633587,0.0000000000
0.6982837650,0.0402805541,0.0004191069,1.7903437829,-8.1918498656,0.1349650483,0.1679765321,0.0000000000
0.7009383548,0.0407782647,0.0004183558,2.4577399243,-8.5074252699,0.0458496780,0.0512711887,0.0000000000
0.7020484392,0.0372704358,0.0004315155,0.4065725987,-7.7674880711,0.0511907597,-0.0715416604,0.0000000000
0.6994355085,0.0936850619,0.0003607949,1.9316243865,-8.4259398544,-0.1566726476,0.0024593409,0.0000000000
0.7002844558,0.1583695440,0.0002713452,1.3891388163,-7.8772944187,0.3714115768,-0.0065770721,0.0000000000
0.7006438684,0.1091423041,0.0003310794,1.0354349557,-8.0428926199,0.1772708507,0.0462011681,0.0000000000
0.6994732258,0.0798521101,0.0003883600,2.5609457290,-7.8732599635,-0.3244755103,-0.0120499936,0.0000000000
0.6998410607,0.0394658969,0.0004214549,0.8600354408,-8.1467286131,-0.2815893875,-0.2119152277,0.0000000000
0.7009593621,0.1044806052,0.0003448366,1.3125887884,-8.2293709708,-0.2082425988,-0.1242698234,0.0000000000
0.7006608294,0.1246582101,0.0003098136,1.9527638488,-8.2263503516,0.1399679826,0.4563217630,0.0000000000
0.7002166155,0.0403541288,0.0004144440,0.2272323419,-7.9540852345,0.0839826543,0.4130549170,0.0000000000
0.7003080566,0.1495275261,0.0002790076,0.4282117716,-8.4126624473,0.1914929846,-0.1963878105,0.0000000000
0.6983321295,0.1114365695,0.0003300848,1.6825980486,-8.2841536761,-0.3355086193,0.1562016722,0.0000000000
0.7006260505,0.1808074676,0.0002503139,2.7601686871,-8.5420598279,0.1763212923,0.0448799093,0.0000000000
0.7004843241,0.1391649571,0.0002894370,1.5748302879,-8.1200042020,0.1220115332,-0.1128502016,0.0000000000
0.6999966856,0.0523347249,0.0003736874,1.2122282967,-8.1645907594,-0.4078552910,0.2426198570,0.0000000000
