# m1[Msun], m2[Msun], f_gw[Hz], inclination[rad], x_gal[kpc], y_gal[kpc], z_gal[kpc], Pala_reassigned
<<<<<<< HEAD
0.6997343318,0.0518459550,0.0003892077,2.2297520230,-7.6752473380,-0.6517120396,0.0144092297,0.0000000000
0.7000607698,0.0965984474,0.0003555550,0.3398193228,-7.8474571877,-0.5132925400,0.1525294361,0.0000000000
0.7018191886,0.8377680725,0.0000755583,0.7735374168,-8.2573391692,-0.5106784090,-0.1141597832,0.0000000000
0.7004570423,0.8614073339,0.0000736216,1.8555010455,-7.7546606348,-0.8192805542,0.1726771301,0.0000000000
0.6998447450,0.0391648405,0.0004197171,1.5420656794,-8.1239645543,-0.7213000806,0.2841361165,0.0000000000
0.7014269311,0.0618523152,0.0004046809,1.0358097971,-7.6012511777,-0.5375324365,-0.0160704980,0.0000000000
0.6985310440,0.1027776333,0.0003466018,2.3911348215,-8.2930729978,0.4688474938,-0.6140330828,0.0000000000
0.6992138276,0.5065006986,0.0001114634,0.8836873863,-8.6663681291,-0.3840935523,-0.2410599351,0.0000000000
0.6992773811,0.1260386177,0.0003081445,2.5593372855,-8.0881663603,0.5797870416,0.1013542705,0.0000000000
0.6994268826,0.0517946992,0.0004016154,1.8897194107,-7.9013626771,0.6402739795,-0.2247226328,0.0000000000
0.7012081868,0.1012606936,0.0003488897,2.9603210485,-8.3232680665,-0.7186378125,0.3207659018,0.0000000000
0.6997054548,0.1082382225,0.0003390595,1.0341328885,-8.3812482983,0.4056084232,0.0144315789,0.0000000000
0.7000528027,0.1064546670,0.0003379325,1.6607696819,-7.6165375846,-0.0538120643,-0.3128222359,0.0000000000
0.6984925206,0.0409533157,0.0004322297,2.1057488332,-8.9924227700,0.2270002607,-0.0100300832,0.0000000000
0.7017127345,0.1076613875,0.0003348985,0.7858222478,-8.0571671280,0.4184528355,0.2265454393,0.0000000000
0.6981497889,0.6280029550,0.0000957561,1.5401530454,-8.1955804546,0.1932041370,0.0853263297,0.0000000000
0.7020775491,0.0411369389,0.0004240691,1.6580340075,-7.3900785634,-0.0582017169,0.4812308130,0.0000000000
0.6983480290,0.0407248925,0.0004289010,0.4826952960,-8.2174778595,0.4389333052,0.0544742750,0.0000000000
0.6986898371,0.7911335113,0.0000790681,2.4638203085,-8.3883736677,0.4877979024,0.0112376626,0.0000000000
0.6986782314,0.0911211125,0.0003670982,0.9856851850,-7.4507189879,-0.0703724699,-0.0714266162,0.0000000000
0.6997197657,0.1230211304,0.0003160556,2.1715545371,-7.6591014708,0.8199807560,0.0104137345,0.0000000000
0.7002112896,0.0572780382,0.0003913139,1.8505739163,-7.7789198766,-0.7505023961,-0.0586247557,0.0000000000
0.7007947916,0.0405948040,0.0004242001,1.5765354313,-8.3884954163,0.0262788226,-0.5563518667,0.0000000000
0.7001871875,0.1026386892,0.0003426726,1.2082163596,-8.4010213405,-0.2731923769,0.1331350620,0.0000000000
0.7008779243,0.1513017998,0.0002782411,1.5478535139,-8.6479707921,0.1858320078,-0.3480310860,0.0000000000
0.6990076325,0.0538306951,0.0004029889,1.2955004718,-8.5639613229,0.6041283618,-0.3058520418,0.0000000000
0.7003384275,0.1120410201,0.0003322213,2.3656778530,-8.2554041575,0.4417503134,0.0097661625,0.0000000000
0.6997555167,0.0915812124,0.0003665492,2.5371762512,-7.7418781938,0.6178292252,-0.0050060553,0.0000000000
0.6997145875,0.2416080508,0.0001580365,2.7389671426,-8.0630907599,0.0161763347,0.1353322779,2.0000000000
0.7026985409,0.1135162411,0.0003280544,2.2063061129,-8.7885176130,-0.0596787959,0.6057251657,0.0000000000
0.7009495491,0.1053290627,0.0003385768,1.4304608687,-8.6291024247,0.3392214978,0.1959291454,0.0000000000
0.6999070873,0.1060659972,0.0003437339,1.5014289545,-8.8363459426,-0.5029276771,-0.0039270360,0.0000000000
0.7003147347,0.0400384705,0.0004077398,1.4077149311,-7.8440077912,0.8947722340,0.0439264930,0.0000000000
0.6988391802,0.1658347443,0.0002647369,2.5920357034,-7.7932668459,0.3801074181,-0.3947776046,0.0000000000
0.6991217561,0.0523482896,0.0003843556,1.0351434200,-7.3708251622,0.2690590326,-0.0529651226,0.0000000000
0.6991067991,0.1093863237,0.0003332040,0.6259899844,-8.1467491540,0.3962316060,-0.2921092828,0.0000000000
0.6997537739,0.0941388388,0.0003592052,0.4838263414,-9.0243508023,0.4023565004,0.1202563280,0.0000000000
0.6996594756,0.1601379853,0.0002692921,2.9577743855,-8.6479399414,-0.1116586767,0.3418141093,0.0000000000
0.6992018185,0.1999859446,0.0001776053,2.6478949141,-7.6204994039,-0.0013157159,-0.1772286983,0.0000000000
0.6994797681,0.1642706526,0.0002650115,1.3799225499,-8.1250820192,-0.6012898191,-0.1305019299,0.0000000000
0.6989581969,0.1283718511,0.0003051157,1.3518733607,-7.9186915668,0.7589266924,0.3432967370,0.0000000000
0.6990987532,0.1167001455,0.0003217756,1.6312426112,-9.0073885829,-0.4543257009,-0.0242975699,0.0000000000
0.6999261341,0.1016850438,0.0003483933,0.3071435158,-8.2096096323,0.4562882224,-0.0861115448,0.0000000000
0.6998450522,0.7809094744,0.0000799129,0.4117380526,-8.1571395648,0.9817024797,-0.0426437925,0.0000000000
0.7010436307,0.0414354696,0.0004250312,0.8643933375,-8.5005564787,0.1324453785,0.1299110742,0.0000000000
0.7014358195,0.0966549999,0.0003584903,2.1897799527,-8.5231750109,0.2024654154,0.0843499827,0.0000000000
0.6988741463,0.0397767183,0.0004327089,0.7944553132,-8.8314550480,-0.3095755886,-0.2129386342,0.0000000000
0.6994553340,0.1066329319,0.0003392498,2.2511224765,-8.9974275143,0.4268204693,-0.0809576467,0.0000000000
0.7005962799,0.1091716040,0.0003348047,0.8249044741,-8.5423097062,-0.6447338199,-0.4597429121,0.0000000000
0.6998771620,0.0936706460,0.0003573386,0.8376560606,-8.5075877095,0.1314107034,0.1090120151,0.0000000000
0.7001264479,0.1243639387,0.0003092503,1.4872519383,-8.3386099766,-0.1200834005,-0.1718509776,0.0000000000
0.7002730112,0.1509910596,0.0002769859,0.1337572098,-7.7785398492,-0.6838939394,-0.0815208435,0.0000000000
0.6993206326,0.0406397668,0.0004096065,1.2018077254,-7.8735825585,-0.4879816714,0.1122344696,0.0000000000
0.7011837446,0.0418921391,0.0004289956,1.1673719748,-7.6481962393,-0.1268164533,-0.0651896800,0.0000000000
0.7006162451,0.5700985001,0.0001033774,0.7645830366,-7.7959224020,-0.4453016475,-0.0088345457,0.0000000000
0.7001222694,0.1607471165,0.0002692062,0.9855918744,-7.8845019107,0.9219221883,0.2500889968,0.0000000000
0.6992678429,0.0391417523,0.0004136409,2.7729339507,-8.5666393714,0.8055575963,0.3311434520,0.0000000000
0.7021345462,0.1105933228,0.0003298379,1.3732635300,-7.7035916543,0.5674409087,-0.0874916902,0.0000000000
0.7006240147,0.0849807635,0.0003727648,2.5788422047,-8.1656842771,-0.5023985403,0.2385645791,0.0000000000
0.7004431692,0.0508538319,0.0003981649,1.3899878790,-7.4536610678,0.4738861472,0.1501560196,0.0000000000
0.7002667947,0.0636455941,0.0004042864,1.3674610524,-7.9795097858,0.5020024131,0.1503633301,0.0000000000
0.7008603464,0.0386879243,0.0004204453,2.1121022181,-8.1982142304,-0.2322134299,-0.3333471883,0.0000000000
0.6983906096,0.1054536970,0.0003401905,0.7937034374,-7.1988467966,0.0332665846,-0.1055275286,0.0000000000
0.6987510311,0.2897332965,0.0001465840,1.1185982250,-8.3942747299,-0.4263560391,-0.0527982487,0.0000000000
0.7017616917,0.0910418033,0.0003658594,2.3506677944,-7.3638596346,-0.3881838372,0.2754491802,0.0000000000
0.6987398485,0.1152096962,0.0003219277,0.6275627811,-7.7648523780,-0.2800472597,-0.7527770629,0.0000000000
0.7012186018,0.1273841149,0.0003063577,1.3029493975,-8.6345609343,-0.3370080561,-0.1678132252,0.0000000000
0.7000520473,0.0393728470,0.0004248788,2.6702375707,-8.5506328737,0.5205179142,-0.0092092210,0.0000000000
0.7005799772,0.3061994255,0.0001431908,2.6582390737,-8.2213372479,-0.1276845069,0.0570522666,0.0000000000
0.6990776549,0.1216542720,0.0003125651,1.9863518561,-9.0439265162,-0.3693838623,-0.0073172666,0.0000000000
0.7008694023,0.0405243942,0.0004269245,1.7873589867,-8.7379077960,0.3264609955,0.0007592691,0.0000000000
0.6992633127,0.0405125396,0.0004109271,0.2060985051,-7.7168441817,0.3272641216,-0.1635623982,0.0000000000
0.6989129063,0.1102806946,0.0003310057,0.7170156458,-8.1575594099,-0.2260281853,-0.1988152490,0.0000000000
0.6983762661,0.0401711422,0.0004315855,1.9125670417,-7.3255366556,-0.3210872839,-0.2330079662,0.0000000000
0.7013480363,0.1503697891,0.0002788316,0.8391835804,-7.9275641459,-0.0746705418,-0.0495813567,0.0000000000
0.7005666297,0.0422883791,0.0004322380,1.6525853266,-7.5611375217,0.5934886798,0.2572398717,0.0000000000
0.6980596123,0.1408588170,0.0002904653,1.8023763580,-7.6884973065,0.3010821152,0.0180156369,0.0000000000
0.7000557770,0.0976693014,0.0003536799,2.6620183742,-8.4245744075,0.6620792177,0.1480472042,0.0000000000
0.7003384835,0.1093456949,0.0003361898,0.7713113580,-7.3712161674,-0.4232579377,-0.1829409732,0.0000000000
0.7004576035,0.0543001472,0.0004028450,1.9795623280,-7.6251293975,0.5044832069,-0.2409899771,0.0000000000
0.7001460170,0.1027657094,0.0003474232,1.1966536202,-7.6233648619,0.6316849322,-0.0102844470,0.0000000000
0.6994765686,0.1491726253,0.0002818057,0.6564719898,-7.9732139925,-0.0897209983,0.3128580602,0.0000000000
0.7000012085,0.0412395942,0.0004339404,0.8709950413,-8.1065495845,-0.3563337706,0.0484354199,0.0000000000
0.7012437453,0.5044419240,0.0001117406,1.8942640812,-8.1336633720,-0.1312252670,0.0025716414,1.0000000000
0.7010754849,0.1138144947,0.0003265004,2.0917310056,-7.5035503271,-0.6734712912,-0.0177343450,0.0000000000
0.7008492545,1.1100575922,0.0000592078,0.2016914960,-7.5181111121,0.0888652390,-0.2335979909,0.0000000000
0.7007638681,0.0407201386,0.0004301361,0.8696477573,-8.1207328443,-0.0224878117,0.2642333078,0.0000000000
0.6998215193,0.0383568675,0.0004195979,0.6962264510,-8.2558300464,0.5392211288,-0.1053848327,0.0000000000
0.6997660239,0.3760510483,0.0001307280,1.2192027800,-8.5854014352,-0.6043814720,0.1958158496,0.0000000000
0.7003399595,0.0643272808,0.0003983767,2.0630526019,-9.0407287836,0.2169234523,0.2953530092,0.0000000000
0.7019648957,0.1101074423,0.0003340892,2.1523229205,-7.7274432470,0.1515241923,-0.1288841539,0.0000000000
0.7011019068,0.0671103612,0.0003870694,1.5149423946,-7.7388037603,0.6627973043,0.0738428466,0.0000000000
0.7004123653,0.0400913409,0.0004140385,1.7345719231,-7.4305613611,0.6646009598,0.0228078909,0.0000000000
0.6989613523,0.0405051466,0.0004246215,1.8834866638,-7.7076479674,0.8471893175,0.0541371346,0.0000000000
0.7005544417,0.0589596743,0.0003698185,2.2438460490,-8.4221064653,-0.7964238453,0.4564734129,0.0000000000
0.6993250367,0.1332659752,0.0002979055,0.4327210686,-7.3801096377,-0.0575403040,0.0305198725,0.0000000000
0.7001466011,0.2315424536,0.0001610774,1.1363432734,-8.2317917929,-0.8143550040,-0.3682369553,0.0000000000
0.6999936797,0.1271149751,0.0003075950,1.6856183698,-8.0333729620,0.4692543812,-0.1646664327,0.0000000000
0.6967235202,0.1429256280,0.0002865429,2.7185361938,-8.5674801264,-0.7718529444,0.2315800082,0.0000000000
0.6999674981,0.1518326198,0.0002763000,2.8427338179,-8.8967728351,0.4441482476,0.1661106736,0.0000000000
0.6976147997,0.0413392340,0.0004286712,2.6877873747,-8.1390121237,0.0015321801,-0.7719522424,0.0000000000
0.7004894457,0.1573992744,0.0002718098,0.9966575629,-8.7353377811,-0.5693413455,0.0976468733,0.0000000000
0.6986181302,0.2766957896,0.0001493043,2.7111072340,-8.9396099176,-0.1222372263,0.0651102285,0.0000000000
0.7021562738,0.1253824579,0.0003090414,2.8315472165,-7.5434338659,0.1748004247,0.0195281956,0.0000000000
0.6999736716,0.0875564689,0.0003689134,2.0594624699,-8.7207681528,-0.4873884723,-0.2316989007,0.0000000000
0.6991971816,0.2371542375,0.0001599788,1.4513618076,-8.3621855891,-0.7823589437,-0.3358214016,0.0000000000
0.6996809268,0.1271329980,0.0003053965,2.5116771792,-7.9269092875,0.5308395287,-0.1787413109,0.0000000000
0.7035501634,0.0632486055,0.0003859819,1.2009541621,-8.2383757241,0.3684231469,-0.2409377376,0.0000000000
0.7002669754,0.0401732914,0.0004247743,0.4663870620,-8.4258422203,-0.4380593526,-0.2488565198,0.0000000000
0.6997612044,0.0975753305,0.0003521968,1.5051310696,-7.9500729585,0.7466100109,0.1561300824,0.0000000000
0.7005254090,0.0956612307,0.0003599650,0.8263909151,-8.2973670028,-0.1946402126,-0.4197340414,0.0000000000
0.6997371929,0.4996739655,0.0001124490,1.7915221981,-7.1763507119,0.2518091454,0.0099638652,0.0000000000
0.6998180524,0.1477568196,0.0002816320,2.7800064306,-8.3915026782,0.2685208200,0.2135190499,0.0000000000
0.6995765069,0.0957183784,0.0003617316,1.1294311440,-8.2495046988,0.6226328675,-0.1629258190,0.0000000000
0.6999331443,0.0959972852,0.0003607007,2.2575406164,-8.6429027976,-0.6337786187,-0.0166256736,0.0000000000
0.7017486601,0.1626036950,0.0002695732,0.7420174920,-8.3185908068,-0.1757111122,-0.4071254880,0.0000000000
0.7022359217,0.1539779299,0.0002771860,0.4558034950,-7.9923238986,-0.8975413779,-0.1033178887,0.0000000000
0.6990814402,0.1159893664,0.0003221171,1.9346583831,-8.9367201199,0.2325830684,-0.0275727773,0.0000000000
0.6982964287,0.2011663561,0.0001753039,1.7843848587,-8.1498904036,-0.3966372948,0.1767091847,0.0000000000
0.7008857056,0.1093608832,0.0003343305,1.5560468385,-8.5801111627,-0.8339209434,-0.0846332657,0.0000000000
0.6994976034,0.0566346825,0.0004059882,1.0546226114,-8.6998449534,0.1115648535,0.2341238600,0.0000000000
0.7000307156,0.1185232741,0.0003184848,2.5634005282,-8.6729267288,0.1167523088,0.0353483227,0.0000000000
0.6995793399,0.1169727696,0.0003197465,1.2167727596,-8.1791065388,-0.1656347218,-0.0110614583,0.0000000000
0.7011794452,0.1028229560,0.0003429458,1.8835050232,-8.0654124951,0.2130399681,0.0513977210,0.0000000000
0.7001415716,0.1429484518,0.0002882542,1.0328835930,-7.9148530719,-0.3574397943,-0.0114702681,0.0000000000
0.7012831701,0.0401601874,0.0004171338,0.1470443412,-8.5601565835,-0.8550605148,0.1079492706,0.0000000000
0.6999884472,0.1115018782,0.0003323891,2.2605502678,-8.7353020390,-0.2248430111,0.3744852172,0.0000000000
0.6992049773,0.1587755011,0.0002707117,2.4610737159,-7.6529500029,0.5525564574,0.2399581471,0.0000000000
0.6998853529,0.0464358826,0.0003865135,1.4698101386,-8.5639036942,-0.6069473769,-0.0243838974,0.0000000000
0.6994104722,0.0552040337,0.0004016349,0.7636027724,-7.5228941217,-0.5069683445,-0.0272031635,0.0000000000
0.6988504344,0.0754567142,0.0003852767,1.8751876147,-7.5752362953,-0.2497313765,-0.4448130063,0.0000000000
0.7014627850,0.2027701740,0.0001694765,2.3670127324,-7.4451129037,-0.1468699126,0.0213442632,0.0000000000
0.7001811039,0.2846830938,0.0001476490,1.1551334526,-8.9530263178,0.5415059854,-0.0915589782,0.0000000000
0.6998445126,0.2522071546,0.0001557516,2.8020778433,-8.6834818060,-0.1582583803,0.7716659935,0.0000000000
0.6983295903,0.2288051818,0.0001614916,1.3371539424,-7.9722316970,0.8487586654,0.4049886469,0.0000000000
0.6983847801,0.1558430504,0.0002726406,1.1949497024,-8.8584994349,0.2218241999,0.3007935725,0.0000000000
0.6996030607,0.0658485254,0.0004055796,1.3274809367,-7.2940300300,0.1451586966,-0.0028615095,0.0000000000
0.6991070213,0.1630819210,0.0002670210,2.2311461159,-8.8062321866,-0.1545928202,-0.0133735798,0.0000000000
0.6995199923,0.1640119820,0.0002673026,1.9986941306,-7.5778690757,0.1608417244,-0.0832255505,0.0000000000
0.6989454723,0.0393569896,0.0004332586,2.3447072354,-7.8132901366,-0.7872397514,0.2625927531,0.0000000000
0.7003744377,0.1011585296,0.0003473174,2.4768477166,-7.6634807067,0.2847476487,-0.0430190380,0.0000000000
0.6991497567,0.0407460211,0.0004266771,1.6002671171,-8.5011323002,0.6794341569,0.1020271635,0.0000000000
0.6993932997,0.1439745612,0.0002844860,1.5773065328,-8.1186224274,-0.5746828539,0.0526512766,0.0000000000
0.7003218753,0.1030084270,0.0003451613,1.1493766808,-7.8111164912,0.0535076288,0.2932469755,0.0000000000
0.7002915535,0.1108685419,0.0003312570,2.8217113093,-8.1882669697,0.4306348926,0.4045368574,0.0000000000
0.7011141332,0.0407758287,0.0004320843,0.0346878720,-7.9158211372,-0.4949408259,-0.2908494167,0.0000000000
0.6996061830,0.1279575930,0.0003052750,2.5626454012,-7.8941306345,0.3127192363,0.3957952177,0.0000000000
0.7006382887,0.0740000424,0.0003994928,0.9526074712,-8.3451504699,0.3126194827,-0.7635620154,0.0000000000
0.6982506770,0.0399876503,0.0004305303,0.5862784307,-7.8586471409,-0.5217074386,-0.0579000412,0.0000000000
0.6989297018,0.1129950364,0.0003280867,1.3055446865,-8.6202001000,0.5721224962,0.0950902086,0.0000000000
0.7003842237,0.1590263653,0.0002703504,2.0234541696,-7.3814318263,0.2109927810,0.3133740290,0.0000000000
0.6986820103,0.0404440751,0.0004166657,0.8971806732,-8.5657194624,0.7350676635,-0.0446729068,0.0000000000
0.7009618853,0.1539797970,0.0002765325,1.8986315149,-7.2481716278,0.2430950857,-0.1180313394,0.0000000000
0.7005774272,0.1617617813,0.0002690111,2.8562776813,-8.0357421904,0.1930690730,0.2641138123,0.0000000000
0.7003922275,0.1546448825,0.0002752852,2.6676375198,-8.8365668724,0.6434554650,0.0597630240,0.0000000000
0.7001122768,0.0410044115,0.0004307474,0.3851146785,-7.6096871345,0.4038496356,-0.0291934483,0.0000000000
0.6992767627,0.1009183592,0.0003500894,1.6344421367,-8.9843396678,-0.3227871868,0.0703159268,0.0000000000
0.7007156065,0.0400091732,0.0004100395,0.1215305844,-8.9584085498,0.3972568109,0.3023944198,0.0000000000
0.6976940425,0.1375079451,0.0002933400,1.5501856806,-7.4015884751,0.1094511967,-0.3185219939,0.0000000000
0.6991255481,0.0889085536,0.0003720098,2.4375370024,-8.0941357985,-0.6223883427,0.0929728437,0.0000000000
0.6999191258,0.1116460210,0.0003304090,2.1450306983,-7.5182304178,0.7603086408,0.1431463331,0.0000000000
0.6983050445,0.1245862951,0.0003097151,2.3828186657,-8.1199440164,0.3633769065,-0.0914723390,0.0000000000
0.7001783278,0.1494569720,0.0002787007,1.2160183566,-8.3200546640,0.4111243669,0.2249414909,0.0000000000
0.6989294093,0.0631439184,0.0003998972,0.8977600075,-7.8921505927,0.5922099735,0.6089858251,0.0000000000
0.6986192686,0.0412759489,0.0004330603,0.7522123803,-8.4918089103,0.5022080913,0.1010911430,0.0000000000
0.6995760410,0.1622381178,0.0002673239,0.6373808790,-8.6687015091,-0.1205321123,-0.3708693435,0.0000000000
0.7006315135,0.5910439082,0.0001004088,0.7022768901,-7.9748882975,-0.3013820097,0.8757072587,0.0000000000
0.6998854665,0.1304218319,0.0003011603,0.8145478722,-7.5641641956,0.2724386362,-0.0277972176,0.0000000000
0.7015621973,0.6471423593,0.0000933442,2.3759166479,-7.9264983600,-0.5430505885,0.3267369149,0.0000000000
0.7003792302,0.0414443493,0.0004078223,1.8846116538,-7.4831499518,0.3671241023,-0.3895795239,0.0000000000
0.7003066696,0.1404683868,0.0002895327,2.6848504158,-8.3458239339,-0.0043239467,-0.4276192481,0.0000000000
0.6985068658,0.0397898000,0.0004257905,0.7441309723,-7.2218372391,0.3767123239,-0.0871408183,0.0000000000
0.6998052419,0.1221725745,0.0003139430,1.6739988051,-7.4767265535,-0.6189417830,0.1073251042,0.0000000000
0.6997120348,0.1195357914,0.0003154322,1.3819130702,-7.9325223665,0.3086573704,-0.1829518433,0.0000000000
0.7001588198,0.9019542583,0.0000708172,1.5734327495,-8.5162998632,-0.3695977427,0.2740727783,0.0000000000
0.7018773209,0.0901185991,0.0003671629,1.1188101665,-7.5652924647,-0.1172537465,-0.1689139098,0.0000000000
0.6983996344,0.0950976596,0.0003559850,0.4869503903,-8.0374691965,-0.0916822553,-0.5412672687,0.0000000000
0.6999795640,0.0583507024,0.0004049017,1.6821246160,-8.4602421080,0.6383274186,-0.0824547738,0.0000000000
0.7006450421,0.1277850363,0.0003038189,1.1732987039,-7.1783794275,-0.1160108634,-0.1127888557,0.0000000000
0.6985967546,0.4756909542,0.0001151821,2.8790280881,-8.0339594357,0.4073734758,0.1969874170,0.0000000000
0.7007077495,0.0725560743,0.0003991726,1.4796917961,-7.1909304680,0.1443786580,0.1021560702,0.0000000000
0.6998440360,0.1521364175,0.0002774660,1.4985224285,-8.5908205539,0.0134181866,0.1267180279,0.0000000000
0.6994507099,0.2747580016,0.0001500200,1.8748849606,-7.3778695129,-0.3621700009,0.2032621104,0.0000000000
0.6994289559,0.0401592542,0.0004290661,1.9895613862,-7.5185226265,-0.1087091717,0.1821809600,0.0000000000
0.7012198565,0.0704879474,0.0003903654,0.4435719857,-7.5271280068,-0.1814492460,-0.0590470679,0.0000000000
0.6992699083,0.0889103773,0.0003683962,1.1981681738,-8.0075415816,-0.5346605449,-0.0216906430,0.0000000000
0.7000262658,0.0532518930,0.0004000775,0.3705430104,-8.9428385184,0.3542230693,0.3016263199,0.0000000000
0.6989557023,0.1344415414,0.0002959416,0.8966856701,-8.9459744795,-0.2581824839,0.0367035471,0.0000000000
0.7004563341,0.0791619552,0.0003879693,0.9501687200,-7.8992373740,0.7337655635,0.0455546239,0.0000000000
0.6994159617,0.2587497886,0.0001535063,1.5224264918,-7.6579536971,0.1042965289,0.2011619883,0.0000000000
0.6983867239,0.1634041671,0.0002668813,2.1394836556,-8.5196115302,-0.4841545892,0.2358689704,0.0000000000
0.6994710712,0.0494456420,0.0003863927,1.4108189847,-7.8796948502,-0.1553942851,-0.0483866922,0.0000000000
0.6999322963,0.0913798551,0.0003636654,1.1261260183,-8.7793181065,0.4925088861,-0.3982007865,0.0000000000
0.7009830262,0.0861902005,0.0003755963,2.9134816775,-8.7315373467,-0.4782788461,0.5142576817,0.0000000000
0.6993154522,0.3884877252,0.0001287798,1.1612802232,-8.4878318815,0.4104341498,-0.1313535548,0.0000000000
0.6995552011,0.1170799582,0.0003204989,0.7634508559,-7.9041574350,-0.4860053887,-0.5753051812,0.0000000000
0.7021970185,0.0398637722,0.0004165507,1.7630332594,-7.6226883637,0.4807693825,-0.0508529824,0.0000000000
0.6974601486,0.2015922379,0.0001763450,1.1166858496,-8.4117892781,0.8929578094,0.3388185097,0.0000000000
0.6992163660,0.1230871254,0.0003106825,1.0213727931,-8.0607971188,-0.8300580426,0.0900104028,0.0000000000
0.6996687313,0.0991513049,0.0003518066,2.2793695294,-8.1712668494,0.8615610906,-0.2180356070,0.0000000000
0.7007973866,0.0407291434,0.0004198351,0.8110394933,-7.7268360284,-0.2855033909,0.0427426638,0.0000000000
0.7015203834,0.1124373248,0.0003278578,1.8364556835,-8.6710562734,-0.1787491220,-0.4215099363,0.0000000000
0.7008879237,0.5133316240,0.0001105374,1.6301298612,-8.5293940525,-0.5247257538,-0.0141240479,0.0000000000
0.7033217394,0.2989265332,0.0001451023,2.0371963523,-7.5809349209,0.2332737123,-0.2179931774,0.0000000000
0.7002156909,0.1572557249,0.0002732784,0.8199224897,-9.0781518187,0.1981504028,-0.1637135654,0.0000000000
0.6999003270,0.5704033450,0.0001030670,1.6301889694,-8.7933474518,-0.0898501997,-0.2020583408,0.0000000000
0.6999513345,0.0401345198,0.0004293946,1.8147076622,-8.0619088784,-0.3601226666,-0.0965575935,0.0000000000
0.6970331601,0.1033072746,0.0003424829,2.1330867175,-8.8168607640,-0.3461574953,-0.0742231867,0.0000000000
